ptp_trunk,condition,border_dist,new_pa_status,accuracy_type,new_pa_img_row_number_across_sessions,correct_mean,correct_sd,correct_n,ci_95,y_hat_i_c_ml
5c9a698...,schema_c,3_4,near_pa,mouse_error,7,12.12642980211921,0.38525828485589364,2,0.5339407416306059,0.020620310460132605
5c9a698...,schema_c,3_4,near_pa,mouse_error,8,25.12240480910642,0.20267375822531586,2,0.28089149806697994,0.004384973087695384
5c9a698...,schema_c,3_4,near_pa,correct_exact,1,0,0,2,0,5.13285199728281e-7
5c9a698...,schema_c,3_4,near_pa,correct_exact,2,0,0,2,0,0.3069337243557638
5c9a698...,schema_c,3_4,near_pa,correct_exact,3,1,0,2,0,0.5196588910126455
5c9a698...,schema_c,3_4,near_pa,correct_exact,4,0.5,0.7071067811865476,2,0.9799999999999999,0.6670916056783605
5c9a698...,schema_c,3_4,near_pa,correct_exact,5,1,0,2,0,0.7692723005876851
5c9a698...,schema_c,3_4,near_pa,correct_exact,6,1,0,2,0,0.8400903306010774
5c9a698...,schema_c,3_4,near_pa,correct_exact,7,1,0,2,0,0.8891719441037869
5c9a698...,schema_c,3_4,near_pa,correct_exact,8,0,0,2,0,0.9231887726370541
5c9a698...,schema_c,3_4,near_pa,correct_one_square_away,1,0,0,2,0,2.75989209720247e-7
5c9a698...,schema_c,3_4,near_pa,correct_one_square_away,2,0.5,0.7071067811865476,2,0.9799999999999999,0.6287120745418565
5c9a698...,schema_c,3_4,near_pa,correct_one_square_away,3,1,0,2,0,0.8621452383625613
5c9a698...,schema_c,3_4,near_pa,correct_one_square_away,4,1,0,2,0,0.9488161774109258
5c9a698...,schema_c,3_4,near_pa,correct_one_square_away,5,1,0,2,0,0.9809960594490024
5c9a698...,schema_c,3_4,near_pa,correct_one_square_away,6,1,0,2,0,0.9929440643899281
5c9a698...,schema_c,3_4,near_pa,correct_one_square_away,7,1,0,2,0,0.997380215582138
5c9a698...,schema_c,3_4,near_pa,correct_one_square_away,8,1,0,2,0,0.9990273054098912
5c9a698...,schema_c,4,both,mouse_error,1,228.78559021600606,105.06698382890073,2,145.61541041869674,NA
5c9a698...,schema_c,4,both,mouse_error,2,141.17332335311264,NA,2,NA,NA
5c9a698...,schema_c,4,both,mouse_error,3,17.57349890960831,9.684804800458865,2,13.422454651790083,NA
5c9a698...,schema_c,4,both,mouse_error,4,126.833173255103,132.84137531641656,2,184.10875312443537,NA
5c9a698...,schema_c,4,both,mouse_error,5,5.365999004146385,NA,2,NA,NA
5c9a698...,schema_c,4,both,mouse_error,6,12.918781356634488,15.404101674357591,2,21.348995713969593,NA
5c9a698...,schema_c,4,both,mouse_error,7,35.345477722730024,32.45143418986273,2,44.97539318276659,NA
5c9a698...,schema_c,4,both,mouse_error,8,30.739968373789072,7.741760822441837,2,10.729533088711012,NA
5c9a698...,schema_c,4,both,correct_exact,1,0,0,2,0,NA
5c9a698...,schema_c,4,both,correct_exact,2,0,0,2,0,NA
5c9a698...,schema_c,4,both,correct_exact,3,1,0,2,0,NA
5c9a698...,schema_c,4,both,correct_exact,4,0,0,2,0,NA
5c9a698...,schema_c,4,both,correct_exact,5,0.5,0.7071067811865476,2,0.9799999999999999,NA
5c9a698...,schema_c,4,both,correct_exact,6,1,0,2,0,NA
5c9a698...,schema_c,4,both,correct_exact,7,0.5,0.7071067811865476,2,0.9799999999999999,NA
5c9a698...,schema_c,4,both,correct_exact,8,0,0,2,0,NA
5c9a698...,schema_c,4,both,correct_one_square_away,1,0,0,2,0,NA
5c9a698...,schema_c,4,both,correct_one_square_away,2,0,0,2,0,NA
5c9a698...,schema_c,4,both,correct_one_square_away,3,1,0,2,0,NA
5c9a698...,schema_c,4,both,correct_one_square_away,4,0.5,0.7071067811865476,2,0.9799999999999999,NA
5c9a698...,schema_c,4,both,correct_one_square_away,5,0.5,0.7071067811865476,2,0.9799999999999999,NA
